#1
double table(8761,2)
# Time [s]	Q_flow [W]
7.992000000000000000e+05 5.371198631592980746e+03
8.028000000000000000e+05 4.915327437598829420e+03
8.064000000000000000e+05 5.195203447741294440e+03
8.100000000000000000e+05 3.591534018257328171e+03
8.136000000000000000e+05 2.992791148183055611e+03
8.172000000000000000e+05 2.620752979756533932e+03
8.208000000000000000e+05 2.483565527667721653e+03
8.244000000000000000e+05 2.360259726277353366e+03
8.280000000000000000e+05 2.237277004232872059e+03
8.316000000000000000e+05 2.246689917637522740e+03
8.352000000000000000e+05 2.868097086788747220e+03
8.388000000000000000e+05 3.659257109533829862e+03
8.424000000000000000e+05 3.917481688735703756e+03
8.460000000000000000e+05 3.782092597865746939e+03
8.496000000000000000e+05 3.917276484019805594e+03
8.532000000000000000e+05 3.998055165003123875e+03
8.568000000000000000e+05 3.954093391059757323e+03
8.604000000000000000e+05 2.518191611923997698e+03
8.640000000000000000e+05 2.628626270269793167e+03
8.676000000000000000e+05 2.954753760386783597e+03
8.712000000000000000e+05 2.926950443122253091e+03
8.748000000000000000e+05 2.900938926473421361e+03
8.784000000000000000e+05 3.069230448376308232e+03
8.820000000000000000e+05 3.327093360445792314e+03
8.856000000000000000e+05 5.019135003083800257e+03
8.892000000000000000e+05 5.757395576152733156e+03
8.928000000000000000e+05 4.800665236560339508e+03
8.964000000000000000e+05 5.228477416379862007e+03
9.000000000000000000e+05 4.626971585446102836e+03
9.036000000000000000e+05 4.087127224751637641e+03
9.072000000000000000e+05 4.074724390776619657e+03
9.108000000000000000e+05 4.132967429967327007e+03
9.144000000000000000e+05 3.966961330660679323e+03
9.180000000000000000e+05 3.889134126203000960e+03
9.216000000000000000e+05 4.262690208416015594e+03
9.252000000000000000e+05 4.640009486907377322e+03
9.288000000000000000e+05 4.791300875069154245e+03
9.324000000000000000e+05 5.127777042131024245e+03
9.360000000000000000e+05 4.707357614276534150e+03
9.396000000000000000e+05 4.799307888889737114e+03
9.432000000000000000e+05 5.003335485669855188e+03
9.468000000000000000e+05 3.485765555234641852e+03
9.504000000000000000e+05 3.665215398892667963e+03
9.540000000000000000e+05 3.597034442548763764e+03
9.576000000000000000e+05 3.710749688906377742e+03
9.612000000000000000e+05 3.892032150845429896e+03
9.648000000000000000e+05 4.021093995969146818e+03
9.684000000000000000e+05 4.261762345698018180e+03
9.720000000000000000e+05 6.696929734447669034e+03
9.756000000000000000e+05 5.963509850120763986e+03
9.792000000000000000e+05 6.491868872270164502e+03
9.828000000000000000e+05 5.633640699943719483e+03
9.864000000000000000e+05 5.353544828959441475e+03
9.900000000000000000e+05 5.220587162238194651e+03
9.936000000000000000e+05 5.383297958503299014e+03
9.972000000000000000e+05 5.082090880132103848e+03
1.000800000000000000e+06 5.337987532605910019e+03
1.004400000000000000e+06 5.338082193677812029e+03
1.008000000000000000e+06 5.541260282710703905e+03
1.011600000000000000e+06 5.730714252258311717e+03
1.015200000000000000e+06 5.796210887616073705e+03
1.018800000000000000e+06 5.872048417339443404e+03
1.022400000000000000e+06 5.884681212577494080e+03
1.026000000000000000e+06 5.851319321938537541e+03
1.029600000000000000e+06 5.645069497377939115e+03
1.033200000000000000e+06 4.034846555530302794e+03
1.036800000000000000e+06 4.095724585885594479e+03
1.040400000000000000e+06 4.011594346958497681e+03
1.044000000000000000e+06 3.966660919680307870e+03
1.047600000000000000e+06 3.861472448911496031e+03
1.051200000000000000e+06 3.786355146173978028e+03
1.054800000000000000e+06 3.862005276247308302e+03
1.058400000000000000e+06 6.116600928137172559e+03
1.062000000000000000e+06 5.998357936178347700e+03
1.065600000000000000e+06 5.792890769255745909e+03
1.069200000000000000e+06 5.511225722397699428e+03
1.072800000000000000e+06 5.780098687918813084e+03
1.076400000000000000e+06 5.752555171240458549e+03
1.080000000000000000e+06 5.495803844711484089e+03
1.083600000000000000e+06 5.472096630414132051e+03
1.087200000000000000e+06 5.185094175093320700e+03
1.090800000000000000e+06 5.642318611293974755e+03
1.094400000000000000e+06 5.755979842734411250e+03
1.098000000000000000e+06 5.562973872212462993e+03
1.101600000000000000e+06 5.552867636022024271e+03
1.105200000000000000e+06 5.794698525208441424e+03
1.108800000000000000e+06 5.592006300321550043e+03
1.112400000000000000e+06 5.583163189651424545e+03
1.116000000000000000e+06 5.447763862019349290e+03
1.119600000000000000e+06 3.609182850123051139e+03
1.123200000000000000e+06 3.498822128278239688e+03
1.126800000000000000e+06 3.342471395024945195e+03
1.130400000000000000e+06 3.360157308358214777e+03
1.134000000000000000e+06 3.246870638231544945e+03
1.137600000000000000e+06 3.246870638231544945e+03
1.141200000000000000e+06 3.198410649591106903e+03
1.144800000000000000e+06 5.032322831958285860e+03
1.148400000000000000e+06 5.541975812007013701e+03
1.152000000000000000e+06 5.614021700672876250e+03
1.155600000000000000e+06 5.263249417793764223e+03
1.159200000000000000e+06 5.009895658532940615e+03
1.162800000000000000e+06 4.512475917167610532e+03
1.166400000000000000e+06 4.984679580295965934e+03
1.170000000000000000e+06 4.911915743211808149e+03
1.173600000000000000e+06 4.718191835388427535e+03
1.177200000000000000e+06 4.926266876212767784e+03
1.180800000000000000e+06 5.787222096484144458e+03
1.184400000000000000e+06 5.637017620653323320e+03
1.188000000000000000e+06 5.671615911259687891e+03
1.191600000000000000e+06 5.519011742451843929e+03
1.195200000000000000e+06 5.933830088431074728e+03
1.198800000000000000e+06 5.619798449845258801e+03
1.202400000000000000e+06 5.688037460016990735e+03
1.206000000000000000e+06 4.010241833605974534e+03
1.209600000000000000e+06 4.059396996082649366e+03
1.213200000000000000e+06 4.138894734227927984e+03
1.216800000000000000e+06 4.023620555016756498e+03
1.220400000000000000e+06 4.059396996082649366e+03
1.224000000000000000e+06 4.083893155263014705e+03
1.227600000000000000e+06 4.175915125902379259e+03
1.231200000000000000e+06 6.635580393602833283e+03
1.234800000000000000e+06 6.703968208649250300e+03
1.238400000000000000e+06 6.346778153584251413e+03
1.242000000000000000e+06 6.117065892120288481e+03
1.245600000000000000e+06 6.202886303025444249e+03
1.249200000000000000e+06 5.897735935425788739e+03
1.252800000000000000e+06 5.639731175544644429e+03
1.256400000000000000e+06 5.782079537265756699e+03
1.260000000000000000e+06 5.823348384545189219e+03
1.263600000000000000e+06 5.902402807921140266e+03
1.267200000000000000e+06 6.044625074211043284e+03
1.270800000000000000e+06 6.328089597604397568e+03
1.274400000000000000e+06 6.027184993673783538e+03
1.278000000000000000e+06 6.054400401443456758e+03
1.281600000000000000e+06 6.379581761276354882e+03
1.285200000000000000e+06 6.120862100574634496e+03
1.288800000000000000e+06 6.159415683842722501e+03
1.292400000000000000e+06 4.538997195829328120e+03
1.296000000000000000e+06 4.538997195829328120e+03
1.299600000000000000e+06 4.816317418212056509e+03
1.303200000000000000e+06 4.884423292590844540e+03
1.306800000000000000e+06 4.701719593820359478e+03
1.310400000000000000e+06 4.724747873502646144e+03
1.314000000000000000e+06 5.028915858194189241e+03
1.317600000000000000e+06 7.161523174746331279e+03
1.321200000000000000e+06 7.312559287933367159e+03
1.324800000000000000e+06 6.560203402030787402e+03
1.328400000000000000e+06 6.411780798604711890e+03
1.332000000000000000e+06 6.189648664322049626e+03
1.335600000000000000e+06 6.054344637354468432e+03
1.339200000000000000e+06 5.930318028235044949e+03
1.342800000000000000e+06 6.000681556405952506e+03
1.346400000000000000e+06 5.931422175585717923e+03
1.350000000000000000e+06 6.161552533906644385e+03
1.353600000000000000e+06 6.529075926982195597e+03
1.357200000000000000e+06 6.959851682591063764e+03
1.360800000000000000e+06 6.443309264072970109e+03
1.364400000000000000e+06 6.610172408824239028e+03
1.368000000000000000e+06 6.479352207792179797e+03
1.371600000000000000e+06 6.503608465137854182e+03
1.375200000000000000e+06 6.564242964532362748e+03
1.378800000000000000e+06 4.884423292590844540e+03
1.382400000000000000e+06 4.962891277162526421e+03
1.386000000000000000e+06 4.974468778789998396e+03
1.389600000000000000e+06 4.937575882781327891e+03
1.393200000000000000e+06 4.793506644167656304e+03
1.396800000000000000e+06 4.839073910884473662e+03
1.400400000000000000e+06 5.110133334694553923e+03
1.404000000000000000e+06 7.340861085619324513e+03
1.407600000000000000e+06 7.599167632693667656e+03
1.411200000000000000e+06 6.976347862279936635e+03
1.414800000000000000e+06 6.866942370630826190e+03
1.418400000000000000e+06 6.487369245444256194e+03
1.422000000000000000e+06 6.070357692620230409e+03
1.425600000000000000e+06 6.146548657767813893e+03
1.429200000000000000e+06 6.093657261129361359e+03
1.432800000000000000e+06 6.303121298313558327e+03
1.436400000000000000e+06 6.274058277150458707e+03
1.440000000000000000e+06 6.720674207405982997e+03
1.443600000000000000e+06 7.149269116229076644e+03
1.447200000000000000e+06 7.235239999740017083e+03
1.450800000000000000e+06 7.366733879833362153e+03
1.454400000000000000e+06 7.334027993459218123e+03
1.458000000000000000e+06 7.728471390497660650e+03
1.461600000000000000e+06 7.556079749113924663e+03
1.465200000000000000e+06 6.123207825301968114e+03
1.468800000000000000e+06 6.170927226381167202e+03
1.472400000000000000e+06 6.046150781693666431e+03
1.476000000000000000e+06 5.947352301432832974e+03
1.479600000000000000e+06 5.947352301432832974e+03
1.483200000000000000e+06 5.847190330542340234e+03
1.486800000000000000e+06 5.745665626212496136e+03
1.490400000000000000e+06 8.588138895687710828e+03
1.494000000000000000e+06 7.964584093895951810e+03
1.497600000000000000e+06 7.569363934420301121e+03
1.501200000000000000e+06 6.952650635999132646e+03
1.504800000000000000e+06 6.767905376587977116e+03
1.508400000000000000e+06 6.465966534946767752e+03
1.512000000000000000e+06 6.291917058508906848e+03
1.515600000000000000e+06 6.708375452815334029e+03
1.519200000000000000e+06 5.767800609590845852e+03
1.522800000000000000e+06 6.625305049373515430e+03
1.526400000000000000e+06 6.101121768304228681e+03
1.530000000000000000e+06 6.269794566648387445e+03
1.533600000000000000e+06 6.012987452296316405e+03
1.537200000000000000e+06 5.602843096043759033e+03
1.540800000000000000e+06 5.448244940069562290e+03
1.544400000000000000e+06 5.555071329043069454e+03
1.548000000000000000e+06 5.296539495306377830e+03
1.551600000000000000e+06 3.579032709334544052e+03
1.555200000000000000e+06 3.579032709334544052e+03
1.558800000000000000e+06 3.643992300490569960e+03
1.562400000000000000e+06 3.736005788849290184e+03
1.566000000000000000e+06 3.761207608197624722e+03
1.569600000000000000e+06 3.936101597896334624e+03
1.573200000000000000e+06 4.211697824710850909e+03
1.576800000000000000e+06 6.662256734578629221e+03
1.580400000000000000e+06 6.459685326791263833e+03
1.584000000000000000e+06 6.110965327090619212e+03
1.587600000000000000e+06 5.629272512897745401e+03
1.591200000000000000e+06 5.159175462184531170e+03
1.594800000000000000e+06 5.280089625345860441e+03
1.598400000000000000e+06 4.781466041369619234e+03
1.602000000000000000e+06 4.978286505885560473e+03
1.605600000000000000e+06 4.953431704291557253e+03
1.609200000000000000e+06 4.695120815655887782e+03
1.612800000000000000e+06 4.669796910486685192e+03
1.616400000000000000e+06 4.602204480483422230e+03
1.620000000000000000e+06 4.631342210131793763e+03
1.623600000000000000e+06 4.289185899642506229e+03
1.627200000000000000e+06 4.136078393550470537e+03
1.630800000000000000e+06 4.068800259236711554e+03
1.634400000000000000e+06 4.066273717983851384e+03
1.638000000000000000e+06 2.288621447849083779e+03
1.641600000000000000e+06 2.350924748147031551e+03
1.645200000000000000e+06 2.765456942034532403e+03
1.648800000000000000e+06 3.145460523903866488e+03
1.652400000000000000e+06 3.299279277225520218e+03
1.656000000000000000e+06 3.455206233450669515e+03
1.659600000000000000e+06 3.617570403515903763e+03
1.663200000000000000e+06 6.716735189049616565e+03
1.666800000000000000e+06 5.645723781794572460e+03
1.670400000000000000e+06 6.054778759180398083e+03
1.674000000000000000e+06 6.096139776189030272e+03
1.677600000000000000e+06 5.323076407304858549e+03
1.681200000000000000e+06 5.083259878733967525e+03
1.684800000000000000e+06 4.882971688074465419e+03
1.688400000000000000e+06 5.285772390408686078e+03
1.692000000000000000e+06 5.307743271545749849e+03
1.695600000000000000e+06 4.920360508730721449e+03
1.699200000000000000e+06 5.322361874794398318e+03
1.702800000000000000e+06 5.379304695180723684e+03
1.706400000000000000e+06 5.306643678997986171e+03
1.710000000000000000e+06 5.223033478998748251e+03
1.713600000000000000e+06 5.275892544870293023e+03
1.717200000000000000e+06 5.181651584838355120e+03
1.720800000000000000e+06 5.112260575811298622e+03
1.724400000000000000e+06 3.645508239471867000e+03
1.728000000000000000e+06 3.558074310780931683e+03
1.731600000000000000e+06 3.532438619051900787e+03
1.735200000000000000e+06 3.506748645173484874e+03
1.738800000000000000e+06 3.736005788849290184e+03
1.742400000000000000e+06 3.685439306036677408e+03
1.746000000000000000e+06 3.647060310540884075e+03
1.749600000000000000e+06 5.918232354150157335e+03
1.753200000000000000e+06 6.067463226127023518e+03
1.756800000000000000e+06 5.226822410823104292e+03
1.760400000000000000e+06 5.349810114542365227e+03
1.764000000000000000e+06 5.098256613495346755e+03
1.767600000000000000e+06 4.906012743905063871e+03
1.771200000000000000e+06 4.422035228988855124e+03
1.774800000000000000e+06 4.576082223935261936e+03
1.778400000000000000e+06 4.298666035765540073e+03
1.782000000000000000e+06 4.331816423948645934e+03
1.785600000000000000e+06 4.617117853940035275e+03
1.789200000000000000e+06 4.945466753558882374e+03
1.792800000000000000e+06 5.068308386326923028e+03
1.796400000000000000e+06 4.922778587594543751e+03
1.800000000000000000e+06 4.947476606248886128e+03
1.803600000000000000e+06 4.849951429421093962e+03
1.807200000000000000e+06 4.919240488758708125e+03
1.810800000000000000e+06 3.246870638231544945e+03
1.814400000000000000e+06 3.167851327807133657e+03
1.818000000000000000e+06 3.273101909116945535e+03
1.821600000000000000e+06 3.386280395094808227e+03
1.825200000000000000e+06 3.246870638231544945e+03
1.828800000000000000e+06 3.355961686523489334e+03
1.832400000000000000e+06 3.506748645173484874e+03
1.836000000000000000e+06 6.263018839661624952e+03
1.839600000000000000e+06 6.019548946977352898e+03
1.843200000000000000e+06 5.896108829432298080e+03
1.846800000000000000e+06 5.103195367812611039e+03
1.850400000000000000e+06 4.739720421063369031e+03
1.854000000000000000e+06 4.538255426911272480e+03
1.857600000000000000e+06 5.037993711076726868e+03
1.861200000000000000e+06 4.803154511992357584e+03
1.864800000000000000e+06 4.733351189674086527e+03
1.868400000000000000e+06 5.072968935529092960e+03
1.872000000000000000e+06 5.230029042525715340e+03
1.875600000000000000e+06 5.945728374861248085e+03
1.879200000000000000e+06 5.966105958109109451e+03
1.882800000000000000e+06 5.870277096995837383e+03
1.886400000000000000e+06 5.841083799078462107e+03
1.890000000000000000e+06 5.807830850556028054e+03
1.893600000000000000e+06 5.689939965269029926e+03
1.897200000000000000e+06 4.021195270188858103e+03
1.900800000000000000e+06 3.779197906648715161e+03
1.904400000000000000e+06 3.710749688906377742e+03
1.908000000000000000e+06 3.583655721137982255e+03
1.911600000000000000e+06 3.583655721137982255e+03
1.915200000000000000e+06 3.786355146173978028e+03
1.918800000000000000e+06 3.917402140451662490e+03
1.922400000000000000e+06 5.904678101837569557e+03
1.926000000000000000e+06 5.681271596281402708e+03
1.929600000000000000e+06 5.211288174257392711e+03
1.933200000000000000e+06 5.110533577485964088e+03
1.936800000000000000e+06 4.812841454514245925e+03
1.940400000000000000e+06 4.905152874700311258e+03
1.944000000000000000e+06 4.793741112866448020e+03
1.947600000000000000e+06 4.624888020978937675e+03
1.951200000000000000e+06 4.153126296461503443e+03
1.954800000000000000e+06 4.070463858919051290e+03
1.958400000000000000e+06 4.308464423563174932e+03
1.962000000000000000e+06 5.398758850847886606e+03
1.965600000000000000e+06 5.123407342010464163e+03
1.969200000000000000e+06 5.228086597093968521e+03
1.972800000000000000e+06 5.317165496136762158e+03
1.976400000000000000e+06 5.368326798583225354e+03
1.980000000000000000e+06 5.283435087138003837e+03
1.983600000000000000e+06 3.645508239471867000e+03
1.987200000000000000e+06 3.736005788849290184e+03
1.990800000000000000e+06 3.886403239995077456e+03
1.994400000000000000e+06 4.255741334922846363e+03
1.998000000000000000e+06 4.373610067884298587e+03
2.001600000000000000e+06 4.277907533572850298e+03
2.005200000000000000e+06 4.561484285063230345e+03
2.008800000000000000e+06 6.503683790259015041e+03
2.012400000000000000e+06 7.003084748084203966e+03
2.016000000000000000e+06 6.341659698361098890e+03
2.019600000000000000e+06 5.740566458795530707e+03
2.023200000000000000e+06 5.406911022871080604e+03
2.026800000000000000e+06 5.040886788872022407e+03
2.030400000000000000e+06 4.894734460760963884e+03
2.034000000000000000e+06 4.912822443782184564e+03
2.037600000000000000e+06 4.847598568509358302e+03
2.041200000000000000e+06 4.758111461188556859e+03
2.044800000000000000e+06 4.899985725609946712e+03
2.048400000000000000e+06 5.480290865447493161e+03
2.052000000000000000e+06 5.435817734921519332e+03
2.055600000000000000e+06 5.699525200612272783e+03
2.059200000000000000e+06 5.718392864207532512e+03
2.062800000000000000e+06 5.719570131187666448e+03
2.066400000000000000e+06 5.594253801194443440e+03
2.070000000000000000e+06 4.055804954083914254e+03
2.073600000000000000e+06 4.059396996082649366e+03
2.077200000000000000e+06 4.132722628730395627e+03
2.080800000000000000e+06 4.108335033071397447e+03
