#1                   																			
double wetter (8760, 20)																			
291600	13	1	1	4	10	6	260	4	4.6	981.8	3.7	69	-1	24	95	9	290	-334	9
295200	13	1	1	4	11	6	260	4	4.7	982.2	3.8	70	-1	38	135	9	290	-335	9
298800	13	1	1	4	12	6	260	5	6	981.5	3.9	66	-1	46	152	9	297	-341	9
302400	13	1	1	4	13	5	270	7	6.4	980.7	4	65	-1	65	158	9	273	-341	9
306000	13	1	1	4	14	6	270	8	6.4	980.3	3.7	61	-1	32	117	9	281	-342	9
309600	13	1	1	4	15	6	270	4	6	980.3	4	67	-1	15	66	9	289	-341	9
313200	13	1	1	4	16	6	270	6	5.6	980.3	3.7	64	-1	1	6	9	287	-339	9
316800	13	1	1	4	17	4	260	2	4.3	980.3	3.6	68	-1	0	0	9	265	-331	9
320400	13	1	1	4	18	4	280	2	2.5	980.3	3.4	74	0	0	0	9	247	-322	9
324000	13	1	1	4	19	4	300	2	2.6	980.4	3.3	71	0	0	0	9	248	-322	9
327600	13	1	1	4	20	2	330	0	0.3	980.3	3.2	80	0	0	0	9	236	-311	9
331200	13	1	1	4	21	2	170	0	-1.3	980.3	3.1	88	0	0	0	9	227	-304	9
334800	13	1	1	4	22	3	330	1	-1.4	980.4	3.1	89	0	0	0	9	227	-304	9
338400	13	1	1	4	23	4	270	1	-2	980.1	3.1	93	0	0	0	9	224	-301	9
342000	13	1	1	4	24	3	290	0	-2.5	980.4	3	92	0	0	0	9	221	-298	9
345600	13	1	1	5	1	1	290	0	-3.1	980.2	2.8	91	0	0	0	9	218	-296	9
349200	13	1	1	5	2	0	280	0	-3.3	979.9	2.8	91	0	0	0	9	217	-295	9
352800	13	1	1	5	3	0	300	1	-3.2	980.4	2.8	92	0	0	0	9	217	-295	9
356400	13	1	1	5	4	5	120	0	-3.3	980.2	2.8	91	0	0	0	9	221	-295	9
360000	13	1	1	5	5	5	340	1	-3.1	980.4	2.9	93	0	0	0	9	222	-296	9
363600	13	1	1	5	6	1	100	1	-3	980.7	2.9	92	2	0	0	9	218	-296	9
367200	13	1	1	5	7	1	270	0	-3.6	981	2.7	91	2	0	0	9	216	-294	9
