#1
double table(35041,2)
# Time[s]	Q_flow[W]
      837000	       15732
      837900	       14521
      838800	        8471
      839700	        8471
      840600	        9681
      841500	       10891
      842400	       12101
      843300	       13311
      844200	       10891
      845100	        7261
      846000	       12101
      846900	       15732
      847800	       15732
      848700	       16942
      849600	       15732
      850500	       14521
      851400	       13311
      852300	       10891
      853200	        9681
      854100	        8471
      855000	        8471
      855900	        8471
      856800	        7261
      857700	        9681
      858600	       10891
      859500	        7261
      860400	        3630
      861300	        4840
      862200	        8471
      863100	       10891
      864000	       10891
      864900	        9681
      865800	        8471
      866700	        8471
      867600	        8471
      868500	        7261
      869400	        8471
      870300	        8471
      871200	        7261
      872100	        9681
      873000	        8471
      873900	        3630
      874800	        4840
      875700	        7261
      876600	        9681
      877500	       12101
      878400	       10891
      879300	        8471
      880200	        7261
      881100	        7261
      882000	        4840
      882900	        3630
      883800	        9681
      884700	       12101
      885600	        8471
      886500	        8471
      887400	        8471
      888300	        7261
      889200	        8471
      890100	       10891
      891000	        8471
      891900	        8471
      892800	        7261
      893700	        4840
      894600	        9681
      895500	       13311
      896400	       13311
      897300	        9681
      898200	        9681
      899100	        8471
      900000	        4840
      900900	        8471
      901800	       12101
      902700	       10891
      903600	       10891
      904500	       12101
      905400	       13311
      906300	       15732
      907200	       13311
      908100	       10891
      909000	        8471
      909900	        4840
      910800	        4840
      911700	        3630
      912600	        7261
      913500	       21782
      914400	       29043
      915300	       20572
      916200	       15732
      917100	       15732
      918000	       13311
      918900	       13311
      919800	       14521
      920700	       13311
      921600	       10891
      922500	        9681
      923400	        8471
      924300	        7261
      925200	        6051
      926100	        7261
      927000	       10891
      927900	       13311
      928800	       14521
      929700	       10891
      930600	        8471
      931500	        8471
      932400	        8471
      933300	        8471
      934200	        7261
      935100	        8471
      936000	        8471
      936900	        7261
      937800	        8471
      938700	        8471
      939600	        8471
      940500	        9681
      941400	        8471
      942300	        6051
      943200	        7261
      944100	        8471
      945000	        7261
      945900	        8471
      946800	       10891
      947700	        8471
      948600	        7261
      949500	        7261
      950400	        7261
      951300	        9681
      952200	        8471
      953100	        6051
      954000	        6051
      954900	        7261
      955800	        6051
      956700	        4840
      957600	        6051
      958500	        6051
      959400	        4840
      960300	        7261
      961200	        7261
      962100	        6051
      963000	        7261
      963900	        7261
      964800	        3630
      965700	        4840
      966600	        7261
      967500	        6051
      968400	        6051
      969300	        7261
      970200	        6051
      971100	        4840
      972000	        7261
      972900	        6051
      973800	        7261
      974700	        7261
      975600	        7261
      976500	        7261
      977400	        3630
      978300	        3630
      979200	        6051
      980100	        8471
      981000	        7261
      981900	        4840
      982800	        4840
      983700	        6051
      984600	        9681
      985500	        9681
      986400	        8471
      987300	        8471
      988200	        8471
      989100	        8471
      990000	        7261
      990900	        8471
      991800	        8471
      992700	        9681
      993600	        8471
      994500	        7261
      995400	        8471
      996300	        8471
      997200	        8471
      998100	        7261
      999000	        9681
      999900	        8471
     1000800	        7261
     1001700	        9681
     1002600	        7261
     1003500	        7261
     1004400	        9681
     1005300	        8471
     1006200	        7261
     1007100	        8471
     1008000	        9681
     1008900	        8471
     1009800	        7261
     1010700	        8471
     1011600	        8471
     1012500	        8471
     1013400	        8471
     1014300	        7261
     1015200	        8471
     1016100	       10891
     1017000	        7261
     1017900	        6051
     1018800	        7261
     1019700	        7261
     1020600	        9681
     1021500	        4840
     1022400	           0
     1023300	        3630
     1024200	       13311
     1025100	       22992
     1026000	       27833
     1026900	       22992
     1027800	       15732
     1028700	       14521
     1029600	       14521
     1030500	        9681
     1031400	        9681
     1032300	       10891
     1033200	        8471
     1034100	       12101
     1035000	       13311
     1035900	       13311
     1036800	       13311
     1037700	       13311
     1038600	       13311
     1039500	        8471
     1040400	        9681
     1041300	       15732
     1042200	       16942
     1043100	       15732
     1044000	       14521
     1044900	       14521
     1045800	       13311
     1046700	       14521
     1047600	       14521
     1048500	       13311
     1049400	       14521
     1050300	       13311
     1051200	       12101
     1052100	       14521
     1053000	       15732
     1053900	       13311
     1054800	       12101
     1055700	       10891
     1056600	        7261
     1057500	       10891
     1058400	       16942
     1059300	       16942
     1060200	       14521
     1061100	       13311
     1062000	       14521
     1062900	       14521
     1063800	       13311
     1064700	       13311
     1065600	       13311
     1066500	       12101
     1067400	       13311
     1068300	       13311
     1069200	       12101
     1070100	       14521
     1071000	       15732
     1071900	       13311
     1072800	       12101
     1073700	       12101
     1074600	       13311
     1075500	       14521
     1076400	       14521
     1077300	       13311
     1078200	       13311
     1079100	       13311
     1080000	       13311
     1080900	       14521
     1081800	       14521
     1082700	       13311
     1083600	       13311
     1084500	       14521
     1085400	       13311
     1086300	       13311
     1087200	       14521
     1088100	       14521
     1089000	       14521
     1089900	       13311
     1090800	       13311
     1091700	       13311
     1092600	       13311
     1093500	       14521
     1094400	       15732
     1095300	       14521
     1096200	       12101
     1097100	        7261
     1098000	       10891
     1098900	       16942
     1099800	       16942
     1100700	       16942
     1101600	       14521
     1102500	       14521
     1103400	       14521
     1104300	       14521
     1105200	       13311
     1106100	       13311
     1107000	       13311
     1107900	       13311
     1108800	       15732
     1109700	       14521
     1110600	       13311
     1111500	       14521
     1112400	       12101
     1113300	       12101
     1114200	       13311
     1115100	       13311
     1116000	       15732
     1116900	       14521
     1117800	       14521
     1118700	       13311
     1119600	       12101
     1120500	       13311
     1121400	       13311
     1122300	       14521
     1123200	       13311
     1124100	       13311
     1125000	       14521
     1125900	       13311
     1126800	       13311
     1127700	       13311
     1128600	       14521
     1129500	       14521
     1130400	        7261
     1131300	        8471
     1132200	       16942
     1133100	       18152
     1134000	       21782
     1134900	       24202
     1135800	       19362
     1136700	       15732
     1137600	       14521
     1138500	       13311
     1139400	        9681
     1140300	        8471
     1141200	       12101
     1142100	       12101
     1143000	       12101
     1143900	       14521
     1144800	       13311
     1145700	       12101
     1146600	       14521
     1147500	       13311
     1148400	       10891
     1149300	       13311
     1150200	       14521
     1151100	       13311
     1152000	        7261
     1152900	        8471
     1153800	       14521
     1154700	       13311
     1155600	       14521
     1156500	       18152
     1157400	       20572
     1158300	       18152
     1159200	       15127
     1160100	       14521
     1161000	       12706
